partner_id,partner_name,email,phone,partner_type,role,region,city,city_tier,manager_id,training_path,signup_date,activation_date,cohort_month,months_active,onboarding_days,onboarding_status,modules_assigned,modules_completed,training_completion_pct,training_status,learning_hours,videos_completed,pdfs_opened,live_sessions_attended,mentor_sessions,portal_logins_30d,days_since_last_login,reminders_sent,quiz_attempts,quiz_avg_score,assessment_score,compliance_score,certification_status,certification_date,badges_earned,customer_ready,readiness_status,deployment_status,field_visits,leads_assigned,leads_converted,conversion_rate,sales_value,tickets_handled,avg_resolution_hours,qa_audit_score,productivity_score,customer_csat,complaints_count,repeat_issue_rate,partner_nps,performance_score,leaderboard_score,global_rank,regional_rank,at_risk_flag,at_risk_reason,next_best_action
PRT00011,Partner 11,partner11@demoapp.ai,+91-9595714108,Agent,Sales,West,Surat,Tier 2,MGR067,Sales Excellence,2025-01-24,2025-02-15,2025-01,13,22,Standard,16,3,20.7,At Risk,19.1,10,17,2,1,7,15,4,19,40.3,39.9,76.7,Not Certified,,2,0,Not Ready,In Training,36,67,27,40.3,605949.0,38,29.9,63.8,54.1,3.11,5,25.0,6,83.5,80.1,198,185,1,Low training progress,Assign mentor + mandatory reminders
PRT00012,Partner 12,partner12@demoapp.ai,+91-9240241363,Service Partner,Technician,East,Kolkata,Tier 1,MGR052,Field Technician Bootcamp,2024-11-11,2024-12-07,2024-11,16,26,Standard,16,8,48.7,At Risk,28.8,5,13,7,0,16,6,1,19,67.6,75.6,64.1,Not Certified,,0,0,Not Ready,In Training,29,12,6,50.0,27284.0,181,14.5,84.5,66.0,3.47,7,22.0,21,89.1,91.0,89,37,0,Low performance,Complete final certification
PRT00013,Partner 13,partner13@demoapp.ai,+91-9466857230,Field Staff,Sales,North,Lucknow,Tier 2,MGR021,Sales Excellence,2024-12-30,2025-01-14,2024-12,14,15,Standard,8,3,37.1,At Risk,14.6,7,10,4,2,10,12,2,8,58.8,65.9,73.3,Not Certified,,2,0,Not Ready,In Training,49,145,52,35.9,791526.0,17,23.5,67.8,51.2,3.51,5,17.6,12,79.8,84.6,153,134,1,Low training progress,Assign mentor + mandatory reminders
PRT00014,Partner 14,partner14@demoapp.ai,+91-9333152299,Reseller,Relationship Manager,North,Chandigarh,Tier 2,MGR052,Partner Relationship Mastery,2025-04-29,2025-05-23,2025-04,10,24,Standard,14,3,22.8,At Risk,29.3,7,9,2,1,12,17,4,17,69.9,51.4,42.4,Not Certified,,0,0,Not Ready,In Training,24,121,53,43.8,389519.0,32,24.1,88.7,44.7,3.76,5,19.0,-7,93.7,92.6,73,55,1,Low training progress,Assign mentor + mandatory reminders
PRT00015,Partner 15,partner15@demoapp.ai,+91-9778645756,Agent,Sales,Central,Bhopal,Tier 2,MGR001,Sales Excellence,2024-02-18,2024-03-11,2024-02,25,22,Standard,13,8,58.3,At Risk,17.0,8,11,2,3,21,3,4,19,67.6,80.5,83.8,Not Certified,,0,0,Not Ready,In Training,28,176,89,50.6,1581565.0,21,23.2,71.2,53.0,3.44,6,15.3,14,78.7,86.4,135,60,0,Low performance,Complete final certification
PRT00016,Partner 16,partner16@demoapp.ai,+91-9286612802,Agent,Support,North,Lucknow,Tier 2,MGR020,Support Academy,2025-03-21,2025-04-19,2025-03,12,29,Delayed,9,1,15.1,At Risk,15.0,5,10,3,1,7,19,6,12,52.1,57.2,65.5,Not Certified,,1,0,Not Ready,In Training,9,14,4,28.6,23323.0,114,25.7,74.7,52.0,3.49,6,22.8,-9,85.0,83.9,160,141,1,Low training progress,Assign mentor + mandatory reminders
PRT00017,Partner 17,partner17@demoapp.ai,+91-9573078319,Field Staff,Technician,West,Ahmedabad,Tier 1,MGR017,Field Technician Bootcamp,2024-06-16,2024-07-04,2024-06,21,18,Standard,15,3,20.6,At Risk,23.0,12,9,2,1,16,5,5,17,39.9,63.4,74.0,Not Certified,,2,0,Not Ready,In Training,24,12,4,33.3,13290.0,53,20.7,73.2,53.8,3.81,4,22.4,3,87.2,89.2,107,94,1,Low training progress,Assign mentor + mandatory reminders
PRT00018,Partner 18,partner18@demoapp.ai,+91-9889798161,Franchise,Technician,West,Pune,Tier 1,MGR063,Field Technician Bootcamp,2025-08-21,2025-08-25,2025-08,6,4,Fast,12,3,26.4,At Risk,9.4,7,13,1,1,9,15,4,14,60.5,76.3,54.1,Not Certified,,0,0,Not Ready,In Training,56,11,4,36.4,14497.0,104,26.1,89.3,57.8,3.44,7,7.6,1,89.8,87.7,122,109,1,Low training progress,Assign mentor + mandatory reminders
PRT00019,Partner 19,partner19@demoapp.ai,+91-9573092406,Reseller,Technician,South,Chennai,Tier 1,MGR059,Field Technician Bootcamp,2024-05-28,2024-06-14,2024-05,21,17,Standard,10,5,48.6,At Risk,23.2,3,10,1,0,18,0,4,16,69.3,58.3,61.8,Not Certified,,0,0,Not Ready,In Training,47,13,5,38.5,23046.0,154,27.5,69.1,46.5,3.09,5,23.8,0,69.1,76.2,237,226,1,Poor customer satisfaction,Quality coaching
PRT00020,Partner 20,partner20@demoapp.ai,+91-9269499884,Field Staff,Support,West,Pune,Tier 1,MGR008,Support Academy,2024-02-23,2024-03-13,2024-02,25,19,Standard,13,7,51.5,At Risk,14.8,10,14,4,0,20,3,3,13,67.0,74.6,79.8,Not Certified,,0,0,Not Ready,In Training,14,3,1,33.3,3828.0,207,26.9,71.5,55.4,3.43,6,17.8,18,79.7,85.9,140,127,0,Low performance,Complete final certification
PRT00021,Partner 21,partner21@demoapp.ai,+91-9805163896,Reseller,Operations,North,Lucknow,Tier 2,MGR073,Ops Compliance Track,2024-11-26,2024-12-18,2024-11,15,22,Standard,16,3,18.9,At Risk,17.3,9,22,1,1,12,6,3,22,67.4,47.3,60.1,Not Certified,,2,0,Not Ready,In Training,12,34,13,38.2,50990.0,25,32.1,72.5,52.8,2.83,8,24.4,-2,81.2,75.8,241,221,1,Low training progress,Assign mentor + mandatory reminders
PRT00022,Partner 22,partner22@demoapp.ai,+91-9925289708,Agent,Relationship Manager,South,Bengaluru,Tier 1,MGR066,Partner Relationship Mastery,2024-11-30,2024-12-06,2024-11,15,6,Fast,9,7,75.6,In Progress,20.0,6,9,4,0,29,0,1,14,79.9,87.3,76.7,In Progress,,0,0,Almost Ready,In Training,24,52,27,51.9,357541.0,28,17.6,78.4,72.8,3.77,6,7.3,25,100.0,100.0,1,1,0,Low performance,Complete final certification
PRT00023,Partner 23,partner23@demoapp.ai,+91-9500399253,Service Partner,Operations,South,Bengaluru,Tier 1,MGR035,Ops Compliance Track,2025-01-29,2025-02-14,2025-01,13,16,Standard,13,3,20.3,At Risk,21.4,11,12,1,1,4,18,3,12,50.9,49.3,65.4,Not Certified,,0,0,Not Ready,In Training,5,15,6,40.0,16290.0,128,29.0,73.1,46.4,3.24,9,24.1,-3,83.0,81.1,188,177,1,Low training progress,Assign mentor + mandatory reminders
PRT00024,Partner 24,partner24@demoapp.ai,+91-9785682058,Service Partner,Technician,Central,Bhopal,Tier 2,MGR017,Field Technician Bootcamp,2025-10-15,2025-11-09,2025-10,5,25,Standard,14,5,38.7,At Risk,23.3,7,7,2,0,13,12,4,16,57.0,59.3,70.5,Not Certified,,1,0,Not Ready,In Training,37,8,3,37.5,12724.0,29,26.5,62.3,46.5,2.82,6,25.5,-12,65.5,70.0,299,216,1,Low training progress,Assign mentor + mandatory reminders
PRT00025,Partner 25,partner25@demoapp.ai,+91-9507083359,Reseller,Technician,North,Chandigarh,Tier 2,MGR034,Field Technician Bootcamp,2025-06-15,2025-07-02,2025-06,9,17,Standard,13,4,29.2,At Risk,21.8,9,12,2,1,11,12,4,19,67.0,49.4,60.8,Not Certified,,2,0,Not Ready,In Training,22,34,15,44.1,101043.0,112,20.7,62.1,51.2,3.03,5,21.0,20,77.2,77.1,228,209,1,Low training progress,Assign mentor + mandatory reminders
PRT00026,Partner 26,partner26@demoapp.ai,+91-9229775382,Franchise,Technician,North,Lucknow,Tier 2,MGR048,Field Technician Bootcamp,2024-10-02,2024-10-18,2024-10,17,16,Standard,13,3,26.0,At Risk,29.7,7,10,1,1,12,19,3,13,44.3,59.3,68.9,Not Certified,,2,0,Not Ready,In Training,63,16,7,43.8,16909.0,117,21.2,65.0,59.4,2.99,6,20.6,-11,76.5,75.9,240,220,1,Low training progress,Assign mentor + mandatory reminders
PRT00027,Partner 27,partner27@demoapp.ai,+91-9324625981,Field Staff,Support,Central,Indore,Tier 2,MGR051,Support Academy,2025-07-06,2025-08-08,2025-07,8,33,Delayed,14,4,26.9,At Risk,21.7,12,12,1,0,7,7,3,17,53.3,69.3,64.3,Not Certified,,0,0,Not Ready,In Training,4,6,3,50.0,10193.0,119,22.6,65.8,54.7,2.76,6,17.4,21,73.8,72.2,277,197,1,Low training progress,Assign mentor + mandatory reminders
PRT00028,Partner 28,partner28@demoapp.ai,+91-9421769471,Franchise,Support,North,Lucknow,Tier 2,MGR028,Support Academy,2025-01-17,2025-01-26,2025-01,14,9,Fast,10,4,38.8,At Risk,20.7,7,8,3,1,12,9,1,9,63.2,55.1,63.6,Not Certified,,2,0,Not Ready,In Training,17,16,7,43.8,31338.0,83,24.8,60.4,50.6,3.08,8,23.4,-9,83.5,82.5,174,155,1,Low training progress,Assign mentor + mandatory reminders
PRT00029,Partner 29,partner29@demoapp.ai,+91-9300167675,Franchise,Technician,Central,Raipur,Tier 2,MGR009,Field Technician Bootcamp,2024-06-19,2024-07-17,2024-06,21,28,Standard,8,1,18.3,At Risk,10.3,6,8,2,0,5,12,3,9,52.0,36.5,42.1,Not Certified,,0,0,Not Ready,In Training,22,30,8,26.7,54942.0,75,26.5,72.1,42.2,2.8,5,22.2,2,62.7,65.2,346,245,1,Low training progress,Assign mentor + mandatory reminders
PRT00030,Partner 30,partner30@demoapp.ai,+91-9837083893,Reseller,Sales,West,Pune,Tier 1,MGR049,Sales Excellence,2024-01-17,2024-02-12,2024-01,26,26,Standard,16,2,15.6,At Risk,31.2,8,10,2,1,6,6,4,24,53.9,57.1,51.4,Not Certified,,2,0,Not Ready,In Training,53,151,67,44.4,858511.0,7,15.1,86.0,42.4,3.57,5,20.2,-9,84.6,84.6,153,140,1,Low training progress,Assign mentor + mandatory reminders
PRT00031,Partner 31,partner31@demoapp.ai,+91-9163439193,Reseller,Sales,East,Guwahati,Tier 2,MGR057,Sales Excellence,2024-01-04,2024-01-20,2024-01,26,16,Standard,10,3,29.6,At Risk,22.1,8,10,1,1,10,7,4,9,70.6,67.1,63.3,Not Certified,,2,0,Not Ready,In Training,50,65,26,40.0,691671.0,55,23.4,61.7,40.1,3.7,6,19.7,7,72.8,81.5,184,123,1,Low training progress,Assign mentor + mandatory reminders
PRT00032,Partner 32,partner32@demoapp.ai,+91-9879328099,Service Partner,Operations,West,Surat,Tier 2,MGR022,Ops Compliance Track,2024-06-19,2024-07-07,2024-06,21,18,Standard,16,6,35.0,At Risk,38.9,14,10,1,1,13,15,2,13,60.3,80.0,47.7,Not Certified,,1,0,Not Ready,In Training,19,21,9,42.9,28663.0,96,19.3,90.0,58.4,3.67,4,9.5,27,88.4,90.6,93,81,1,Low training progress,Assign mentor + mandatory reminders
PRT00033,Partner 33,partner33@demoapp.ai,+91-9762053510,Agent,Sales,West,Surat,Tier 2,MGR052,Sales Excellence,2025-09-14,2025-10-02,2025-09,6,18,Standard,10,5,53.7,At Risk,11.0,6,5,3,1,14,8,1,12,61.6,69.3,55.7,Not Certified,,2,0,Not Ready,In Training,31,59,25,42.4,428694.0,37,16.9,79.3,52.6,3.84,4,16.1,11,97.4,100.0,1,1,0,Low performance,Complete final certification
PRT00034,Partner 34,partner34@demoapp.ai,+91-9684803363,Agent,Technician,North,Chandigarh,Tier 2,MGR046,Field Technician Bootcamp,2024-12-18,2025-01-06,2024-12,15,19,Standard,10,2,16.3,At Risk,16.7,7,8,3,1,4,17,4,13,68.7,52.1,41.5,Not Certified,,0,0,Not Ready,In Training,46,35,13,37.1,24464.0,34,23.5,68.5,59.5,3.23,5,20.6,-3,82.9,80.3,196,177,1,Low training progress,Assign mentor + mandatory reminders
PRT00035,Partner 35,partner35@demoapp.ai,+91-9892568780,Field Staff,Technician,Central,Bhopal,Tier 2,MGR041,Field Technician Bootcamp,2024-12-09,2024-12-22,2024-12,15,13,Fast,8,3,40.5,At Risk,20.2,6,8,3,0,9,17,2,9,62.5,69.1,63.5,Not Certified,,2,0,Not Ready,In Training,62,8,3,37.5,11647.0,153,20.2,65.9,59.4,3.45,5,18.5,0,78.6,83.8,161,84,1,Low training progress,Assign mentor + mandatory reminders
PRT00036,Partner 36,partner36@demoapp.ai,+91-9496835732,Franchise,Sales,Central,Raipur,Tier 2,MGR001,Sales Excellence,2024-10-30,2024-11-14,2024-10,16,15,Standard,11,2,13.7,At Risk,24.4,11,8,2,1,4,19,5,12,57.6,43.7,54.0,Not Certified,,1,0,Not Ready,In Training,46,139,54,38.8,1101348.0,19,22.7,72.5,52.4,3.38,5,20.7,-20,73.7,76.4,235,158,1,Low training progress,Assign mentor + mandatory reminders
PRT00037,Partner 37,partner37@demoapp.ai,+91-9738503766,Franchise,Operations,Central,Bhopal,Tier 2,MGR025,Ops Compliance Track,2024-07-13,2024-07-28,2024-07,20,15,Standard,16,4,27.4,At Risk,27.4,12,15,1,3,12,13,2,22,72.8,50.1,46.4,Not Certified,,2,0,Not Ready,In Training,18,21,8,38.1,33873.0,194,36.4,54.3,50.1,2.87,6,24.4,1,65.5,68.8,311,223,1,Low training progress,Assign mentor + mandatory reminders
PRT00038,Partner 38,partner38@demoapp.ai,+91-9395105154,Field Staff,Sales,West,Mumbai,Tier 1,MGR030,Sales Excellence,2025-06-27,2025-07-12,2025-06,8,15,Standard,16,2,13.5,At Risk,28.8,11,13,2,1,10,14,2,24,47.2,57.9,44.8,Not Certified,,1,0,Not Ready,In Training,15,35,14,40.0,248051.0,34,26.7,69.7,49.7,3.08,6,16.4,-14,80.7,77.2,227,214,1,Low training progress,Assign mentor + mandatory reminders
PRT00039,Partner 39,partner39@demoapp.ai,+91-9230088499,Agent,Operations,East,Patna,Tier 2,MGR067,Ops Compliance Track,2024-01-10,2024-01-26,2024-01,26,16,Standard,10,3,28.1,At Risk,19.3,7,6,3,1,8,17,1,13,75.9,47.6,71.6,Not Certified,,1,0,Not Ready,In Training,2,31,9,29.0,18010.0,198,24.4,60.8,55.1,2.8,6,26.8,-6,69.2,70.3,296,232,1,Low training progress,Assign mentor + mandatory reminders
PRT00040,Partner 40,partner40@demoapp.ai,+91-9728291361,Field Staff,Relationship Manager,East,Bhubaneswar,Tier 2,MGR067,Partner Relationship Mastery,2025-04-10,2025-04-13,2025-04,11,3,Fast,11,4,34.0,At Risk,18.0,8,11,1,0,13,7,3,16,78.3,50.8,67.7,Not Certified,,2,0,Not Ready,In Training,40,38,12,31.6,304742.0,50,33.8,66.1,45.7,2.85,7,21.6,1,66.7,70.3,296,232,1,Low training progress,Assign mentor + mandatory reminders
PRT00041,Partner 41,partner41@demoapp.ai,+91-9993769271,Agent,Sales,North,Lucknow,Tier 2,MGR070,Sales Excellence,2025-12-13,2026-01-01,2025-12,3,19,Standard,14,7,51.7,At Risk,28.6,12,10,3,3,20,7,3,17,63.1,57.6,73.6,Not Certified,,1,0,Not Ready,In Training,15,139,51,36.7,1201653.0,52,24.7,80.6,56.2,3.22,6,23.1,11,87.8,88.2,117,98,0,Low performance,Complete final certification
PRT00042,Partner 42,partner42@demoapp.ai,+91-9966237272,Reseller,Sales,East,Guwahati,Tier 2,MGR038,Sales Excellence,2025-10-31,2025-11-14,2025-10,4,14,Fast,16,3,20.5,At Risk,32.3,9,16,2,0,6,10,3,17,51.5,48.0,44.0,Not Certified,,1,0,Not Ready,In Training,53,136,53,39.0,748063.0,17,22.6,52.3,58.7,3.01,8,17.6,2,70.4,71.9,280,218,1,Low training progress,Assign mentor + mandatory reminders
PRT00043,Partner 43,partner43@demoapp.ai,+91-9109668055,Reseller,Support,West,Mumbai,Tier 1,MGR027,Support Academy,2024-10-07,2024-10-10,2024-10,17,3,Fast,13,5,40.5,At Risk,16.9,11,7,4,1,15,7,2,11,71.6,62.7,68.9,Not Certified,,1,0,Not Ready,In Training,1,26,12,46.2,66774.0,77,17.3,63.6,62.8,3.2,7,22.8,27,83.1,83.8,161,148,1,Low training progress,Assign mentor + mandatory reminders
PRT00044,Partner 44,partner44@demoapp.ai,+91-9821164500,Agent,Support,West,Surat,Tier 2,MGR040,Support Academy,2025-10-11,2025-10-26,2025-10,5,15,Standard,9,1,16.6,At Risk,14.2,4,8,2,3,5,22,2,8,68.0,49.9,51.4,Not Certified,,1,0,Not Ready,In Training,14,29,10,34.5,28936.0,183,33.0,64.3,35.5,2.97,7,28.8,2,67.0,69.0,309,286,1,Low training progress,Assign mentor + mandatory reminders
PRT00045,Partner 45,partner45@demoapp.ai,+91-9690426653,Reseller,Sales,South,Kochi,Tier 2,MGR064,Sales Excellence,2024-06-29,2024-07-14,2024-06,20,15,Standard,11,3,23.0,At Risk,17.6,9,12,0,2,10,11,2,13,65.1,50.8,43.2,Not Certified,,2,0,Not Ready,In Training,25,102,43,42.2,561991.0,50,25.7,75.2,36.1,3.13,6,25.5,-8,77.2,77.2,227,216,1,Low training progress,Assign mentor + mandatory reminders
PRT00046,Partner 46,partner46@demoapp.ai,+91-9133656182,Reseller,Operations,East,Guwahati,Tier 2,MGR050,Ops Compliance Track,2024-07-02,2024-07-30,2024-07,20,28,Standard,14,7,46.5,At Risk,23.6,12,14,1,2,13,7,2,21,67.2,70.7,53.6,Not Certified,,2,0,Not Ready,In Training,18,7,3,42.9,13252.0,218,16.4,80.8,49.8,3.62,5,17.1,26,77.6,85.9,140,80,0,Low performance,Complete final certification
PRT00047,Partner 47,partner47@demoapp.ai,+91-9843894637,Agent,Sales,West,Pune,Tier 1,MGR049,Sales Excellence,2024-09-18,2024-10-02,2024-09,18,14,Fast,8,3,33.4,At Risk,15.4,7,9,1,0,14,19,1,8,66.8,57.2,71.9,Not Certified,,1,0,Not Ready,In Training,13,33,12,36.4,267854.0,56,21.6,83.5,40.9,3.44,5,18.4,-7,86.7,87.1,128,115,1,Low training progress,Assign mentor + mandatory reminders
PRT00048,Partner 48,partner48@demoapp.ai,+91-9952201419,Agent,Relationship Manager,South,Hyderabad,Tier 1,MGR035,Partner Relationship Mastery,2024-01-14,2024-02-06,2024-01,26,23,Standard,13,3,25.8,At Risk,24.5,10,14,0,0,18,11,3,24,65.3,47.4,41.7,Not Certified,,2,0,Not Ready,In Training,19,69,25,36.2,322520.0,33,23.4,67.5,52.2,3.54,4,22.2,-8,83.0,84.9,150,139,1,Low training progress,Assign mentor + mandatory reminders
PRT00049,Partner 49,partner49@demoapp.ai,+91-9378833198,Reseller,Sales,Central,Raipur,Tier 2,MGR056,Sales Excellence,2024-07-20,2024-08-18,2024-07,20,29,Delayed,14,7,53.4,At Risk,20.7,11,14,2,0,15,8,3,16,73.3,59.5,94.5,Not Certified,,0,0,Not Ready,In Training,51,73,27,37.0,582639.0,1,27.3,74.1,59.0,3.22,7,16.0,17,77.9,83.1,168,91,0,Low performance,Complete final certification
PRT00050,Partner 50,partner50@demoapp.ai,+91-9799832169,Franchise,Operations,West,Surat,Tier 2,MGR070,Ops Compliance Track,2025-10-11,2025-10-24,2025-10,5,13,Fast,11,3,26.8,At Risk,26.4,7,12,3,1,9,8,2,10,55.2,54.9,40.2,Not Certified,,1,0,Not Ready,In Training,0,6,2,33.3,11944.0,165,25.6,65.1,50.5,3.38,6,22.2,-13,76.3,79.8,201,188,1,Low training progress,Assign mentor + mandatory reminders
PRT00051,Partner 51,partner51@demoapp.ai,+91-9692326009,Franchise,Sales,North,Chandigarh,Tier 2,MGR054,Sales Excellence,2025-08-02,2025-08-20,2025-08,7,18,Standard,12,5,37.6,At Risk,21.6,6,10,3,0,15,0,1,13,71.2,78.3,73.7,Not Certified,,0,0,Not Ready,In Training,5,174,70,40.2,1629078.0,7,19.3,59.8,60.3,3.28,6,14.0,5,79.1,81.9,180,161,1,Low training progress,Assign mentor + mandatory reminders
PRT00052,Partner 52,partner52@demoapp.ai,+91-9998902904,Franchise,Support,North,Jaipur,Tier 2,MGR033,Support Academy,2024-09-07,2024-10-09,2024-09,18,32,Delayed,14,2,14.0,At Risk,34.4,10,14,1,1,5,21,4,17,51.5,51.7,57.7,Not Certified,,2,0,Not Ready,In Training,5,11,4,36.4,8737.0,181,31.6,79.6,50.5,3.52,5,19.3,-11,87.4,85.4,145,126,1,Low training progress,Assign mentor + mandatory reminders
PRT00053,Partner 53,partner53@demoapp.ai,+91-9239593713,Reseller,Technician,West,Pune,Tier 1,MGR068,Field Technician Bootcamp,2024-08-25,2024-09-14,2024-08,18,20,Standard,13,7,50.7,At Risk,31.8,9,12,3,2,15,13,1,20,52.3,82.6,75.3,Not Certified,,0,0,Not Ready,In Training,63,7,3,42.9,32406.0,166,15.2,84.3,64.9,3.86,6,13.6,-3,96.1,99.1,10,7,0,Low performance,Complete final certification
PRT00054,Partner 54,partner54@demoapp.ai,+91-9633458073,Field Staff,Sales,South,Chennai,Tier 1,MGR076,Sales Excellence,2024-09-20,2024-10-11,2024-09,18,21,Standard,8,2,29.9,At Risk,10.6,7,11,1,2,12,12,3,10,48.3,40.3,67.0,Not Certified,,2,0,Not Ready,In Training,55,76,21,27.6,346385.0,53,29.0,62.5,54.9,2.87,5,20.4,17,71.1,72.3,276,263,1,Low training progress,Assign mentor + mandatory reminders
PRT00055,Partner 55,partner55@demoapp.ai,+91-9352835216,Reseller,Relationship Manager,West,Ahmedabad,Tier 1,MGR064,Partner Relationship Mastery,2024-03-31,2024-04-15,2024-03,23,15,Standard,13,6,47.0,At Risk,20.5,9,13,2,3,8,5,4,12,79.4,58.5,76.8,Not Certified,,0,0,Not Ready,In Training,30,48,22,45.8,402039.0,20,29.0,65.4,64.9,2.93,5,24.8,2,82.2,81.6,183,170,1,Poor customer satisfaction,Quality coaching
